xSrcPort,xDstPort,xPkt,xMin_Pbyte0,xMin_Pbyte1,xMax_Pbyte0,xMax_Pbyte1,xIni_Pbyte0,xMax_ConsPkt0,Class
4028,8000,2,71,47,71,71,47,1,
7000,28967,1,95,0,95,95,0,1,
56321,9021,2,52,52,52,52,52,1,
56321,9021,2,52,52,52,52,52,1,
59281,8000,1,52,0,52,52,0,1,
56321,9027,2,52,52,52,52,52,1,
7000,7800,1,95,0,95,95,0,1,
6881,32422,1,119,0,119,119,0,1,
56321,9023,2,52,52,52,52,52,1,
55578,8000,2,178,178,178,178,178,1,
56339,8000,3,288,186,344,344,186,2,
1863,8002,1,33,0,33,33,0,1,
7000,28056,2,28,28,28,28,28,1,
55578,8000,2,218,274,218,218,274,1,
56321,9022,2,52,52,52,52,52,1,
1863,1863,2,258,202,258,258,202,1,
4024,8000,3,175,87,175,175,159,1,
56321,9022,2,52,52,52,52,52,1,
56321,9023,1,52,0,52,52,0,1,
1863,18888,4,250,125,250,250,699,2,
1863,1173,22,86,45,86,94,1129,9,
1863,8011,4,70,18,70,70,18,2,
1863,18509,4,86,0,86,86,0,4,
1863,55405,4,86,0,86,86,0,4,
1863,8001,2,69,18,69,69,18,1,
1863,30364,11,86,87,88,93,1136,5,
4005,8000,3,47,55,47,47,87,1,
1863,1095,9,86,44,86,88,70,5,
1863,8016,4,71,18,71,71,18,2,
1863,1863,10,86,43,86,88,87,6,
1863,2813,271,86,43,86,95,1128,27,
1863,8012,2,71,18,71,71,18,1,
1863,26575,4,86,0,86,86,0,4,
1863,8012,2,69,18,69,69,18,1,
1863,51389,15,86,43,86,94,1136,7,
1863,8004,2,69,18,69,69,18,1,
1863,12352,20,86,45,86,94,1129,9,
1863,8009,4,71,18,71,75,18,2,
1863,1864,18,86,70,86,88,70,3,
1863,9855,6,86,87,88,88,87,4,
1863,21327,4,86,0,86,86,0,4,
7273,7273,3,72,0,72,72,0,3,
4019,8000,2,47,55,47,47,55,1,
63803,8000,19,79,91,131,251,835,10,
49751,53,2,36,84,36,36,84,1,
49753,8000,2,79,110,79,79,110,1,
12345,8000,4,76,37,77,77,37,2,
60136,8000,2,47,55,47,47,55,1,
56321,9070,2,52,52,52,52,52,1,
1863,2813,414,93,528,95,95,1128,33,
7273,7273,2,72,0,72,72,0,2,
60136,8000,2,143,39,143,143,39,1,
56321,9070,2,52,52,52,52,52,1,
6881,40856,2,119,297,119,119,297,1,
56321,9070,2,52,52,52,52,52,1,
1863,2813,465,93,724,95,95,1128,33,
56321,9070,2,52,52,52,52,52,1,
1863,18509,4,86,0,86,86,0,4,
1863,8003,2,70,18,70,70,18,1,
1863,55405,4,86,0,86,86,0,4,
1863,8001,2,69,18,69,69,18,1,
